Date,Open,High,Low,Close,Volume
2024-01-01 00:00:00,153.64,154.45,152.49,152.2,483018
2024-01-02 00:00:00,154.81,155.82,153.52,153.6,377553
2024-01-03 00:00:00,157.74,159.25,156.71,156.95,412677
2024-01-04 00:00:00,162.3,164.11,160.62,163.39,195078
2024-01-05 00:00:00,166.32,167.64,164.7,166.56,224491
2024-01-06 00:00:00,163.54,164.46,161.65,165.67,296011
2024-01-07 00:00:00,166.54,167.08,165.99,167.47,300856
2024-01-08 00:00:00,166.18,167.74,164.33,166.14,316401
2024-01-09 00:00:00,166.78,167.29,165.69,168.04,425141
2024-01-10 00:00:00,167.71,168.77,165.89,167.92,319102
2024-01-11 00:00:00,168.8,170.1,167.27,168.1,154617
2024-01-12 00:00:00,171.72,173.6,169.73,172.4,189381
2024-01-13 00:00:00,173.77,174.41,172.13,173.08,447057
2024-01-14 00:00:00,173.69,174.8,172.64,173.4,170129
2024-01-15 00:00:00,174.64,175.17,173.39,175.97,176138
2024-01-16 00:00:00,175.87,176.89,174.81,175.77,287615
2024-01-17 00:00:00,179.36,180.79,178.31,178.55,481031
2024-01-18 00:00:00,179.45,180.36,178.55,178.98,463787
2024-01-19 00:00:00,181.31,182.13,180.07,182.33,354264
2024-01-20 00:00:00,178.75,179.43,177.23,178.2,205919
2024-01-21 00:00:00,173.49,174.86,172.57,173.1,270177
2024-01-22 00:00:00,175.4,176.94,174.12,174.89,105241
2024-01-23 00:00:00,177.37,178.88,176.7,177.56,100833
2024-01-24 00:00:00,176.66,178.58,175.92,176.27,417476
2024-01-25 00:00:00,180.49,180.99,179.92,178.89,495289
2024-01-26 00:00:00,178.68,180.15,176.73,177.79,171752
2024-01-27 00:00:00,179.12,180.52,178.61,178.19,360146
2024-01-28 00:00:00,179.08,180.47,178.32,180.33,147628
2024-01-29 00:00:00,182.03,183.98,180.61,182.85,210739
2024-01-30 00:00:00,185.45,185.98,184.83,186.04,261475
2024-01-31 00:00:00,185.47,187.01,183.65,184.96,122922
2024-02-01 00:00:00,186.99,188.71,185.41,186.18,188583
2024-02-02 00:00:00,185.49,186.76,183.54,184.98,246524
2024-02-03 00:00:00,182.31,183.31,181.05,181.26,328878
2024-02-04 00:00:00,181.13,182.81,180.18,183.62,325326
2024-02-05 00:00:00,182.71,183.35,181.38,180.46,269187
2024-02-06 00:00:00,185.83,186.99,183.93,186.39,341699
2024-02-07 00:00:00,186.75,188.03,185.47,185.46,135025
2024-02-08 00:00:00,187.52,189.06,186.62,187.42,297783
2024-02-09 00:00:00,187.34,187.98,185.53,186.35,208605
2024-02-10 00:00:00,184.89,185.73,183.83,183.71,449813
2024-02-11 00:00:00,182.47,183.58,181.97,181.33,150357
2024-02-12 00:00:00,179.49,180.92,178.62,181.24,448684
2024-02-13 00:00:00,183.61,185.44,182.63,183.47,334925
2024-02-14 00:00:00,182.88,184.31,181.09,182.12,296103
2024-02-15 00:00:00,181.62,182.32,180.43,182.18,227482
2024-02-16 00:00:00,180.83,182.8,179.66,180.84,318543
2024-02-17 00:00:00,182.65,184.46,181.64,183.37,190791
2024-02-18 00:00:00,178.77,180.03,176.95,176.95,269619
2024-02-19 00:00:00,178.32,180.21,176.41,178.63,105042
2024-02-20 00:00:00,177.83,179.14,175.84,178.6,312545
2024-02-21 00:00:00,178.35,180.24,177.29,176.69,280818
2024-02-22 00:00:00,177.99,179.73,176.04,178.44,445550
2024-02-23 00:00:00,175.7,177.65,174.01,177.39,163483
2024-02-24 00:00:00,176.45,178.33,174.93,176.43,129785
2024-02-25 00:00:00,177.6,178.16,176.74,178.43,395013
2024-02-26 00:00:00,177.33,178.09,176.5,178,467282
2024-02-27 00:00:00,177.9,178.99,177.15,177.2,405186
2024-02-28 00:00:00,176.83,178.76,174.95,176.87,150138
2024-02-29 00:00:00,177.51,178.46,176.56,175.94,184588
2024-03-01 00:00:00,175.56,176.3,174.38,175.11,332587
2024-03-02 00:00:00,175.48,177.31,174.24,175.75,372744
2024-03-03 00:00:00,174.11,175.28,172.44,174.83,270404
2024-03-04 00:00:00,171.23,173.09,169.46,171.26,382494
2024-03-05 00:00:00,170.94,171.68,170.24,171.66,414545
2024-03-06 00:00:00,171.5,172.99,170.36,170.4,382572
2024-03-07 00:00:00,168.71,169.87,166.95,168.61,220785
2024-03-08 00:00:00,169.72,170.33,167.99,169.74,482175
2024-03-09 00:00:00,168,169.55,167.35,169.85,349802
2024-03-10 00:00:00,168.61,169.48,167.88,168.4,400848
2024-03-11 00:00:00,170.52,171.08,169.56,170.02,448746
2024-03-12 00:00:00,169.49,170.08,168.88,169.51,311549
2024-03-13 00:00:00,174.44,175.03,173.3,173.52,466114
2024-03-14 00:00:00,171.48,173.34,170.82,171.68,201836
2024-03-15 00:00:00,172.07,173.68,170.71,171.7,135569
2024-03-16 00:00:00,171.13,172.97,170.26,169.34,369607
2024-03-17 00:00:00,170.13,171.64,168.73,170.07,487440
2024-03-18 00:00:00,168.97,170.26,168.29,168.65,453802
2024-03-19 00:00:00,167.69,168.64,165.72,166.05,158114
2024-03-20 00:00:00,170.15,172.14,168.25,170.08,453657
2024-03-21 00:00:00,167.03,168.07,165.94,168.52,498319
2024-03-22 00:00:00,169.69,170.9,168.83,170.22,132843
2024-03-23 00:00:00,170.07,171.14,169.19,170.68,364110
2024-03-24 00:00:00,168.41,170.38,167.19,167.07,217811
2024-03-25 00:00:00,171.06,171.83,170.5,171.54,352404
2024-03-26 00:00:00,175.32,176.31,173.86,175.46,210505
2024-03-27 00:00:00,177.15,178.67,176.03,177.68,104090
2024-03-28 00:00:00,178.21,178.81,177.15,178.64,136483
2024-03-29 00:00:00,176.11,177.52,174.4,174.75,206253
2024-03-30 00:00:00,178.83,180.04,177.26,178.79,169414
2024-03-31 00:00:00,177.36,178.28,175.42,176.6,311459
2024-04-01 00:00:00,180.17,181.03,179.15,180.12,354867
2024-04-02 00:00:00,182.28,183.56,180.44,181.39,153841
2024-04-03 00:00:00,182.86,183.91,181.2,184.17,430110
2024-04-04 00:00:00,184.33,185.51,183.29,183.47,164327
2024-04-05 00:00:00,186.68,187.69,185.25,185.78,386870
2024-04-06 00:00:00,186.48,188.44,185.55,186.56,120028
2024-04-07 00:00:00,190.6,191.3,188.78,189.52,273275
2024-04-08 00:00:00,190.66,191.3,189.99,190.23,350498
2024-04-09 00:00:00,192.15,193.16,191.33,191.32,105000
2024-04-10 00:00:00,195.37,196.76,194.6,196.79,482024
2024-04-11 00:00:00,194.46,195.95,193.36,195.25,130425
2024-04-12 00:00:00,191.33,192.43,189.71,191.27,270278
2024-04-13 00:00:00,193.29,195.29,192,192.9,198017
2024-04-14 00:00:00,191.92,192.94,190.69,192.86,282616
2024-04-15 00:00:00,195.54,197.12,195.04,195.95,410591
2024-04-16 00:00:00,194.58,196.03,193.44,195.07,307765
2024-04-17 00:00:00,193.38,195.1,192.78,193.35,229540
2024-04-18 00:00:00,198.54,200.51,197.73,196.85,413759
2024-04-19 00:00:00,201.38,203.21,199.48,201.26,371091
2024-04-20 00:00:00,205.42,207.07,204.6,204.89,131397
2024-04-21 00:00:00,208.14,209.69,206.35,208.79,458151
2024-04-22 00:00:00,205.62,206.62,203.91,206.63,447798
2024-04-23 00:00:00,209.94,210.66,209.2,209.28,423196
2024-04-24 00:00:00,209.87,210.47,208.46,210.34,417627
2024-04-25 00:00:00,212.02,212.88,211.34,213.75,438655
2024-04-26 00:00:00,214.14,215.29,212.55,213.48,319081
2024-04-27 00:00:00,214.01,215.29,212.55,215.69,116243
2024-04-28 00:00:00,215.65,217.31,213.93,214.8,179283
2024-04-29 00:00:00,217.77,219.71,216.55,217.8,192754
2024-04-30 00:00:00,218.52,219.2,216.65,218.51,390583
2024-05-01 00:00:00,216.57,217.23,216,216.59,312051
2024-05-02 00:00:00,218.01,219.4,217.08,217.18,384441
2024-05-03 00:00:00,220.38,222,218.81,219.79,187865
2024-05-04 00:00:00,219.16,220.93,218.04,218.49,156517
2024-05-05 00:00:00,219.59,221.49,218.83,219.91,352249
2024-05-06 00:00:00,219.09,221.07,218.43,219.42,280525
2024-05-07 00:00:00,224.3,225.4,222.57,226.52,476175
2024-05-08 00:00:00,224.46,225.53,223.25,225.83,195832
2024-05-09 00:00:00,226.4,227.12,224.58,225.89,192083
